Column1,Column2,Column3,Column4,Column5
52,44,0.7,B,-1.32
93,34,0.14,C,0.72
15,74,0.6,C,0.32
72,62,0.54,D,0.06
61,14,0.2,D,0.91
21,95,0.94,B,-0.03
83,48,0.6,D,-1.94
87,15,0.69,A,-0.85
75,72,0.88,D,1.36
75,78,0.62,D,1.17
88,87,0.3,A,-0.37
24,62,0.11,B,0.5
3,40,0.46,A,2.78
22,85,0.22,D,-0.03
53,80,0.42,B,-0.01
2,82,0.88,D,0.19
88,53,0.32,A,0.61
30,24,0.12,A,-0.35
38,26,0.36,D,0.61
2,89,0.91,C,-1.94
64,60,0.27,C,0.34
60,41,0.65,A,0.05
21,29,0.0,A,-0.22
33,15,0.35,C,-0.48
76,45,0.3,C,-0.61
58,65,0.16,D,-0.81
22,89,0.53,D,-2.32
89,71,0.48,C,-0.27
49,9,0.69,D,1.1
91,88,0.27,D,-0.34
59,1,0.24,B,0.64
42,8,0.17,D,-1.08
92,88,0.22,A,-1.31
60,63,0.56,D,-0.75
80,11,0.4,D,-1.03
15,81,0.06,C,-1.18
62,8,0.25,A,0.45
62,35,0.25,D,1.78
47,35,0.7,D,-0.67
62,33,0.71,B,-1.69
51,5,0.15,D,0.66
55,41,1.0,D,-1.44
64,28,0.27,B,-1.18
3,7,0.98,C,0.49
51,73,0.41,D,-0.17
7,72,0.03,B,-0.69
21,12,0.35,A,0.07
73,34,0.63,C,-0.41
39,33,0.68,A,1.89
18,48,0.53,A,-0.68
4,23,0.45,B,-0.91
89,62,0.55,D,-0.46
60,88,0.59,B,-0.41
14,37,0.08,B,0.6
9,99,0.37,B,-1.99
90,44,0.24,B,0.43
53,86,0.8,C,-0.54
2,91,0.47,D,0.78
84,35,0.98,A,-0.05
92,65,0.4,A,0.52
60,99,0.82,D,-0.39
71,47,0.8,A,0.44
44,78,0.15,D,1.66
8,3,0.51,A,-0.74
47,1,0.7,B,-0.11
35,5,0.86,A,-0.49
78,90,0.33,D,1.59
81,14,0.22,D,-0.43
36,27,0.71,D,-0.73
50,9,0.81,D,-0.58
4,79,0.35,D,-0.14
2,15,0.1,C,-0.79
6,90,0.94,C,-0.37
54,42,0.4,A,0.16
4,77,0.52,D,-0.12
54,51,0.84,A,0.83
93,63,0.68,D,-0.32
63,96,0.74,D,-0.2
18,52,0.21,C,0.27
90,96,0.54,C,2.24
